Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
405/647	7638.3	17130.0	7638.3	17130.0	3003.23486	19089.95313	321.86075	-37.95350	1.24651	4860.75244	22503.18750	103	1	-1	10	0	0	507.79275	19.62049	7638.3	17130.0	7638.3	17130.0
405/647	2494.2	17981.5	2494.2	17981.5	2073.94067	6706.84521	229.57321	-18.14547	1.14322	4583.32861	14203.78125	103	1	-1	-7	0	0	178.40208	27.16310	2494.2	17981.5	2494.2	17981.5
405/647	28735.5	20035.6	28735.5	20035.6	2054.75220	7010.80469	235.81120	-83.19865	1.19030	18527.22070	7444.46875	103	1	-1	-2	0	0	186.48740	52.64133	28735.5	20035.6	28735.5	20035.6
405/647	29333.2	20431.2	29333.2	20431.2	3098.09424	13261.72559	264.12708	0.00000	1.14687	17788.89453	14149.62500	103	1	-1	7	0	0	352.76190	34.48970	29333.2	20431.2	29333.2	20431.2
405/647	34006.4	26047.8	34006.4	26047.8	9501.32031	52422.48047	299.86588	60.32554	1.00750	5350.51221	55515.18750	103	1	-1	-4	0	0	1394.43798	7.34282	34006.4	26047.8	34006.4	26047.8
405/647	37545.9	29932.5	37545.9	29932.5	10709.44824	65183.83984	314.95364	11.78915	1.22904	4627.34033	67798.49219	103	1	-1	5	0	0	1733.89014	6.34192	37545.9	29932.5	37545.9	29932.5
405/647	34108.4	30703.3	34108.4	30703.3	2295.23877	8546.46973	246.34268	-3.81842	1.29248	6653.69727	12402.56250	103	1	-1	10	0	0	227.33609	29.13661	34108.4	30703.3	34108.4	30703.3
405/647	22567.3	36640.1	22567.3	36640.1	11516.41992	257122.96875	300.91760	-38.84550	1.11174	4978.34131	269582.43750	103	3	-1	5	0	0	6839.47097	2.80874	22567.3	36640.1	22567.3	36640.1
405/647	453.7	3046.4	453.7	3046.4	2777.47632	12200.88281	267.56586	2.41433	1.27949	4530.38672	14554.32813	104	1	-1	8	0	0	324.54348	20.51982	453.7	3046.4	453.7	3046.4
405/647	5830.1	4854.3	5830.1	4854.3	12921.32227	101376.28906	357.58142	-81.96660	1.02219	7147.94092	97019.48438	104	1	-1	-6	0	0	2696.60929	6.23230	5830.1	4854.3	5830.1	4854.3
405/647	15016.2	5449.7	15016.2	5449.7	2511.39453	10697.21289	263.47418	66.30380	1.08457	4654.82227	14854.44531	104	1	-1	-2	0	0	284.54586	22.80526	15016.2	5449.7	15016.2	5449.7
405/647	5017.4	6595.7	5017.4	6595.7	40969.58594	280374.15625	333.96307	7.31302	1.09383	11999.28906	272041.78125	104	1	-1	5	0	0	7457.95256	2.89810	5017.4	6595.7	5017.4	6595.7
405/647	3793.2	7376.1	3793.2	7376.1	8448.46387	208462.75000	352.76486	27.71367	1.00156	8720.49023	204266.46875	104	2	-1	5	0	0	5545.10915	4.50704	3793.2	7376.1	3793.2	7376.1
405/647	13305.3	9740.2	13305.3	9740.2	31982.31445	175142.93750	298.74564	-60.54778	1.01669	7047.52148	175281.96875	104	1	-1	-4	0	0	4658.80214	3.07621	13305.3	9740.2	13305.3	9740.2
405/647	18887.2	9760.6	18887.2	9760.6	25089.67188	145916.95313	307.86874	-8.63704	1.10234	5979.62646	148688.34375	104	1	-1	5	0	0	3881.39095	3.53087	18887.2	9760.6	18887.2	9760.6
405/647	11044.6	9973.5	11044.6	9973.5	9579.39063	92569.29688	396.84851	47.76468	1.13836	4330.34912	89054.27344	104	1	-1	5	0	0	2462.34330	6.76247	11044.6	9973.5	11044.6	9973.5
405/647	22005.2	10576.1	22005.2	10576.1	2870.66455	16175.96777	303.04291	20.18869	1.00908	5896.74219	18827.43750	104	1	-1	-3	0	0	430.28074	22.27466	22005.2	10576.1	22005.2	10576.1
405/647	12794.0	11251.6	12794.0	11251.6	8772.21777	61757.84375	338.72839	77.41734	1.09779	9805.79688	61424.07813	104	1	-1	5	0	0	1642.75864	9.83521	12794.0	11251.6	12794.0	11251.6
405/647	7692.5	15619.7	7692.5	15619.7	2366.82764	12771.00098	296.54416	69.61606	1.03523	4486.44434	20063.89063	104	1	-1	-3	0	0	339.70863	23.68645	7692.5	15619.7	7692.5	15619.7
405/647	8514.9	18731.0	8514.9	18731.0	22135.45703	111789.59375	286.89084	89.99991	1.05941	7193.54150	118816.46875	104	1	-1	5	0	0	2973.60319	4.07683	8514.9	18731.0	8514.9	18731.0
405/647	6747.5	21416.3	6747.5	21416.3	2139.02197	6136.26465	216.22438	-36.89389	1.21954	4537.68164	16065.96094	104	1	-1	-3	0	0	163.22464	26.29680	6747.5	21416.3	6747.5	21416.3
405/647	17980.4	22891.2	17980.4	22891.2	2069.81836	8345.59277	256.34372	28.20938	1.05185	5222.32959	14166.75781	104	1	-1	-6	0	0	221.99277	28.80102	17980.4	22891.2	17980.4	22891.2
405/647	8514.8	24778.8	8514.8	24778.8	3664.13037	22387.28516	315.55530	-53.16670	1.19363	4664.62891	29076.28125	104	1	-1	10	0	0	595.50179	16.06170	8514.8	24778.8	8514.8	24778.8
405/647	28170.7	26693.0	28170.7	26693.0	3617.41064	14875.54785	258.87958	73.38474	1.01817	6272.60107	18054.96875	104	1	-1	-5	0	0	395.68957	18.46735	28170.7	26693.0	28170.7	26693.0
405/647	26561.7	29259.9	26561.7	29259.9	6533.70703	68736.46094	307.87842	75.46362	1.09674	6643.83252	73443.37500	104	2	-1	-3	0	0	1828.38986	8.50535	26561.7	29259.9	26561.7	29259.9
405/647	10297.4	29883.5	10297.4	29883.5	3235.97852	52031.65234	325.19928	-43.02490	1.08115	4652.58203	76800.32813	104	3	-1	-3	0	0	1384.04195	12.38863	10297.4	29883.5	10297.4	29883.5
405/647	32140.6	35267.4	32140.6	35267.4	3250.36060	12159.72461	246.92003	-40.07552	1.22051	4501.99951	15994.01563	104	1	-1	7	0	0	323.44867	17.73315	32140.6	35267.4	32140.6	35267.4
405/647	9209.6	803.3	9209.6	803.3	4652.12402	12904.59082	212.62128	-62.85766	1.09934	4490.45410	15660.64844	105	1	-1	-3	0	0	343.26212	12.88791	9209.6	803.3	9209.6	803.3
405/647	14830.6	7444.6	14830.6	7444.6	3678.13965	35980.69531	399.28308	-60.53406	1.07685	4384.52051	37246.98438	105	1	-1	5	0	0	957.08650	15.56214	14830.6	7444.6	14830.6	7444.6
405/647	19450.9	7927.3	19450.9	7927.3	4563.21436	90961.81250	354.25372	-79.35946	1.17312	4809.43506	98733.35938	105	3	-1	-5	0	0	2419.58421	8.78162	19450.9	7927.3	19450.9	7927.3
405/647	23773.8	10932.7	23773.8	10932.7	3803.02148	15931.02930	261.28699	64.13403	1.04597	4901.35938	25216.01563	105	1	-1	-3	0	0	423.76538	15.89572	23773.8	10932.7	23773.8	10932.7
405/647	38895.4	15518.2	38895.4	15518.2	2013.54639	14640.91992	344.24179	-56.62069	1.25217	4499.28174	17806.95313	105	1	-1	-4	0	0	389.44847	27.57870	38895.4	15518.2	38895.4	15518.2
405/647	31184.0	17153.9	31184.0	17153.9	3630.15918	28859.01563	359.94666	6.63859	1.05972	5921.39258	30938.18750	105	1	-1	-3	0	0	767.64982	17.88625	31184.0	17153.9	31184.0	17153.9
405/647	1727.5	18563.4	1727.5	18563.4	2561.03052	9781.27148	249.48848	-63.76865	1.06584	4618.34619	15031.34375	105	1	-1	-6	0	0	260.18182	22.33522	1727.5	18563.4	1727.5	18563.4
405/647	39933.0	20068.8	39933.0	20068.8	2365.36157	24316.59766	260.52289	-58.16129	1.09619	4583.27246	31499.35938	105	2	-1	-2	0	0	646.82150	13.93018	39933.0	20068.8	39933.0	20068.8
405/647	35570.0	23554.5	35570.0	23554.5	4126.10986	29325.38672	340.33896	7.16177	1.01525	4588.17236	32863.68750	105	1	-1	-4	0	0	780.05529	14.30948	35570.0	23554.5	35570.0	23554.5
405/647	14957.4	24469.3	14957.4	24469.3	2835.34351	33939.41797	353.49976	50.10594	1.13143	5107.47363	40585.32031	105	2	-1	-3	0	0	902.78852	18.86759	14957.4	24469.3	14957.4	24469.3
405/647	7060.5	27224.7	7060.5	27224.7	2094.46265	5169.90332	200.56961	66.16947	1.02044	4571.13477	12112.63281	105	1	-1	-2	0	0	137.51943	26.94902	7060.5	27224.7	7060.5	27224.7
405/647	22772.0	27125.0	22772.0	27125.0	3056.34399	7675.68018	202.31009	32.68671	1.27838	17589.75586	8880.09375	105	1	-1	-2	0	0	204.17309	34.82479	22772.0	27125.0	22772.0	27125.0
405/647	32349.3	30773.8	32349.3	30773.8	6252.49512	34286.05078	298.94568	-29.89468	1.20174	5867.94678	34587.32813	105	1	-1	6	0	0	912.00895	10.89409	32349.3	30773.8	32349.3	30773.8
405/647	26574.0	31981.0	26574.0	31981.0	2057.96704	8948.85645	266.21027	19.36735	1.29046	6093.73438	12029.64063	105	1	-1	-6	0	0	238.03958	31.04497	26574.0	31981.0	26574.0	31981.0
405/647	28642.2	38809.8	28642.2	38809.8	3885.80469	9764.58105	202.37019	-85.68716	1.25881	4446.13623	12122.59375	105	1	-1	7	0	0	259.73786	15.09326	28642.2	38809.8	28642.2	38809.8
405/647	15502.9	39587.2	15502.9	39587.2	3839.68652	14021.39746	243.95403	17.12338	1.12927	4455.53271	17056.67969	105	1	-1	6	0	0	372.96917	15.18323	15502.9	39587.2	15502.9	39587.2
405/647	25008.3	7324.0	25008.3	7324.0	2103.15576	11574.42871	299.48447	-6.60269	1.09381	4683.32959	19819.75781	106	1	-1	7	0	0	307.87980	26.97451	25008.3	7324.0	25008.3	7324.0
405/647	5600.6	8396.3	5600.6	8396.3	19149.08594	147067.64063	353.78937	53.89472	1.03272	8859.72168	142751.95313	106	1	-1	5	0	0	3911.99924	4.82995	5600.6	8396.3	5600.6	8396.3
